,SMILES,Experimental value
404,Oc1c(OC)c(OC)c(O)c(c1C)CC=C(C)CCC=C(C)C,0
405,O=C(O)c1cc(O)c(O)c(c1)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
406,O=C(O)c1cc(OC)c(O)c(c1)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
407,Oc1c(OC)cccc1CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,0
409,O=C(O)CCN=C(O)C(O)C(C)(C)CO,0
411,O=C(O)CC(C(=O)O)C(O)C(=O)O,0
412,O=CC(=O)C,0
413,O=C(O)C1NCC(O)C1,0
415,O=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,0
416,O=CCc1ccc(O)c(O)c1,0
417,O=C(O)c1ccc(O)cc1,0
418,O=C(O)Cc1ccc(O)c(O)c1,0
419,O=C(O)Cc1cc(O)ccc1(O),0
420,O=C(O)C(=O)Cc1ccc(O)cc1,0
421,O=C(O)C(=O)Cc1ccccc1,0
424,O=C(O)C(=O)C,0
425,O=CCCC(=O)O,0
426,O=CCCCN,0
427,O=C(O)CCCN,0
428,O=CCCC(C)C,0
430,O=CC,0
431,O=C(C)CN,0
432,O=C(O)CCN,0
433,O=C(O)CCC,0
434,O=C(O)C(O)CO,0
435,O=C(O)C(=O)C(C)CC,0
436,O=C(O)CCCC=CCC=CCC=CCC=CCCCCC,0
439,O=C(O)C(=O)C(C)C,0
440,O=C(O)C(=O)CCC(=O)O,0
441,O=C(O)CCCCCCCC=CCC=CCC=CCC,0
442,O=C(O)C(=O)CC,0
443,NCCS,0
445,O=C(O)CN(C)C,0
446,O=C(O)C(=O)CC(C)C,0
447,OCCN,0
448,O=C(O)C(=O)CCCC(=O)O,0
449,O=C,0
450,O=C(O)CO,0
451,O=CC(=O)O,0
452,O=CC(O)CO,0
453,O=C(C)CO,0
454,O=CCC(=O)O,0
455,O=C(O)CC(O)C,0
456,O=C(O)CC(=O)C,0
457,O=C(O)C(=O)CC(=O)O,0
459,OC1CCC2(C3=C(CCC2(C1(C)))C4(C)(CCC(C(C)CCC(=C)C(C)C)C4(C)(CC3)))(C),0
460,OCC2OC(OCC1OC(O)C(O)C(O)C1(O))C(O)C(O)C2(O),0
462,OCC2OC(OC1OC(CO)C(O)C(O)C1(O))C(O)C(O)C2(O),0
463,OCC(O)C(O)C(O)CO,0
464,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O),0
465,N=C(O)CCCCC(CCS)S,0
466,OC3C(O)C(OC3(n2cnc1c(ncnc12)N))C,0
467,N=C(O)CCCCC1CCSS1,0
468,O=P(O)(OCC(O)C(O)C(O)CN2c3nc(O)nc(O)c3(Nc1cc(c(cc12)C)C))OP(=O)(O)OCC6OC(n5cnc4c(ncnc45)N)C(O)C6(O),0
469,O=C(CO)C(O)C(O)C(O)C(O)COP(=O)(O)O,0
470,O=C([O-])C(N)CC[S+](C)CC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
471,OC3C(O)C(OC3(n2cnc1c(ncnc12)N))C[S+](C)CCCN,0
472,N=C1C=C[NH+]([C-](O)N1)C2OC(CO)C(O)C2(O),0
473,O=P(O)(O)OCC4OC(N1C(=N)c2ncn(c2(NC1))C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3(O))C(O)C4(O),0
476,O=C(O)CC(N)C(O)=NC(C(=O)OC)Cc1ccccc1,0
477,C=C1CCC=C(C)CCC2C1CC2(C)(C),0
478,O=C(O)C(N)CSSCC(N)C(=O)O,0
479,O=C(O)CCCCCCCCC,0
480,n1cc(ncc1C)C,0
481,O=C(O)CCCCCCCCCCCCCCCCCCCCC,0
482,O=C(O)CCC=CCC=CCC=CCC=CCC=CCC=CCC,0
483,O=C(O)C=CC=CC=CC=CC=CCCCCCCCCCCC,0
484,O=C(O)CCCCCCCCCCC,0
485,O=C(O)CCCCCCCCCCCCCCCCCCC,0
486,O=C(O)CCCC=CCC=CCC=CCC=CCC=CCC,0
487,O=C(O)C=CCCCCCCCCCCCCCCCCC,0
488,O=C(CO)C(O)C(O)C(O)CO,0
491,O=C(O)CCCCCCCCCCCCCCCC,0
493,O=C(O)C=CCCCCCCCCCCCCC,0
494,O=C(O)CCCCC,0
496,O=C(OC1CC2CCC1(C)C2(C)(C))C,0
498,OC2C=C(C)C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CC(O)CC1(C)C)C)C)C)C)C(C)(C)C2,0
499,C(=CC=C(C=CC=C(C=CC=C(C)CCC=C(C)C)C)C)C=C(C=CC=C(C=CC=C(C)CCC=C(C)C)C)C,0
500,O=C(O)CC(=O)O,0
502,OC1CC(C)CCC1(C(C)C),0
503,n1ccnc(c1)C,0
504,C(=NCCCSC)=S,0
505,O=C(O)CCCCCCCC=CC=CC=CC=CCC,0
506,O=C(O)CCCCCCC=CCCCCCCCCC,0
507,O=C(O)CCCCCCCCCCCCCC,0
508,OCC3OC(OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O))C(O)C(O)C3(O),0
509,O=S2(=O)(N=C(O)c1ccccc12),0
510,OCC4OC(OCC3OC(OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O))C(O)C(O)C3(O))C(O)C(O)C4(O),0
511,OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C=CC(CC)C(C)C)C))C3(C)CC4,0
512,O=C(O)CCCCCCCCCCCCC,0
513,O=C(O)CCCCCCCC=CCCCC,0
514,O=C(O)CCCCCCCCCCCCCCCCCCCCCCC,0
515,CC1=NC=C(C[N+]2=CSC(CCO)=C2C)C(=N)N1.[Cl-],0
516,O=Cc1ccc(O)c(OC)c1,0
517,O=P([O-])(O)OCc1cnc(c([O-])c1C)C,0
518,O=C(O)C(=O)O,1
519,O=C1OC3(C=C1)(CCC23(OC(=O)C=C2)),1
520,O=C(OC)C3=C2Nc1ccccc1C25(CCN4CC(=CC)C3CC45),1
521,OCC9OC(OC6CC5=CCC4C(CCC3(C)(C4(CC2OC1(OCC(C)CC1)C(C)C23(O))))C5(C)CC6)C(OC7OC(C)C(O)C(O)C7(O))C(O)C9(OC8OC(C)C(O)C(O)C8(O)),1
522,OCC9OC(OC6CC5=CCC4C(CCC3(C)(C4(CC2OC1(OCC(C)CC1)C(C)C23)))C5(C)CC6)C(OC7OC(C)C(O)C(O)C7(O))C(O)C9(OC8OC(C)C(O)C(O)C8(O)),1
523,O=CC9(C)(C(OC1OC(C(=O)O)C(O)C(O)C1(O))CCC8(C)(C9(CCC6(C)(C8(CC=C5C7CC(C)(C)CCC7(C(=O)OC4OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(OC3OC(CO)C(O)C(O)C3(O))C4(O))(CCC56(C))))))),1
524,O=CC%15(C)(C(OC5OC(C(=O)O)C(OC1OC(C)C(O)C(O)C1(O))C(OC4OCC(OC2OCC(O)C(O)C2(O))C(O)C4(OC3OC(CO)C(O)C(O)C3(O)))C5(O))CCC%14(C)(C%15(CCC%12(C)(C%14(CC=C%11C%13CC(C)(C)CCC%13(C(=O)OC%10OC(C)C(OC6OCC(O)C(O)C6(O))C(OC9OC(C)C(OC7OC(CO)C(O)C(O)C7(O))C(O)C9(OC8OC(CO)C(O)C(O)C8(O)))C%10(O))(CCC%11%12(C))))))),1
525,O=C5CC2C(CCC1CC(O)CCC12(C))C6CC4OC3(OCC(C)CC3)C(C)C4C56(C),1
526,OC1CCC6(C)(C(C1)C(O)CC5C6(CCC4(C)(C5(CC3OC2(OCC(C)CC2)C(C)C34)))),1
527,OC6CCC5(C)(C(CCC4C5(CCC3(C)(C4(CC2OC1(OCC(C)CC1)C(C)C23))))C6),1
529,OC6CC5=CCC4C(CCC3(C)(C4(CC2OC1(OCC(C)CC1)C(C)C23)))C5(C)CC6,1
531,O=C(OC)C5C4C(=CC)CN3CCC25(C(=Nc1ccccc12)C3C4),1
532,OC6CC5=CCC4C(CCC3(C)(C4(CC2OC1(OCC(C)CC1)C(C)C23(O))))C5(C)CC6,1
533,O=C(OC7C(O)C8(CO)(C(O)C(O)C5(C(=CCC4C6(C)(CCC(OC3OC(C(=O)OCCC)C(O)C(OC2OC(CO)C(OC1OCC(O)C(O)C1(O))C(O)C2(O))C3(O))C(C)(C)C6(CCC45(C))))C8(CC7(C)(C)))(C)))C(=CC)C,1
534,O=C(O)C8OC(OC2CCC3(C)(C4CC=C1C5CC(C)(C)C(OC(=O)C(C)CC)C(O)C5(CO)(C(O)C(O)C1(C)C4(C)(CCC3(C2(C)(C))))))C(OC6OC(CO)C(O)C(O)C6(O))C(OC7OCC(O)C(O)C7(O))C8(O),1
535,O=C(OC7C(OC(=O)C)C8(CO)(C(O)CC5(C(=CCC4C6(C)(CCC(OC3OC(C(=O)O)C(OC1OC(CO)C(O)C(O)C1(O))C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))C(C)(CO)C6(CCC45(C))))C8(CC7(C)(C)))(C)))C(=CC)C,1
537,O=C(OC7C(OC(=O)C)C8(CO)(C(O)CC5(C(=CCC4C6(C)(CCC(OC3OC(C(=O)O)C(OC1OC(CO)C(O)C(O)C1(O))C(O)C3(OC2OCC(O)C(O)C2(O)))C(C)(CO)C6(CCC45(C))))C8(CC7(C)(C)))(C)))C(=CC)C,1
539,O=CC%11(C)(C(OC3OC(C(=O)O)C(O)C(OC1OCC(O)C(O)C1(O))C3(OC2OC(CO)C(O)C(O)C2(O)))CCC%10(C)(C%11(CCC8(C)(C%10(CC=C7C9CC(C)(C)CCC9(C(=O)OC6OCC(C(=O)C)C(O)C6(OC5OC(C)C(O)C(OC4OC(CO)C(O)C(O)C4(O))C5(O)))(CCC78(C))))))),1
540,O=CC%12(C)(C(OC3OC(C(=O)O)C(O)C(OC1OCC(O)C(O)C1(O))C3(OC2OC(CO)C(O)C(O)C2(O)))CCC%11(C)(C%12(CCC9(C)(C%11(CC=C8C%10CC(C)(C)CCC%10(C(=O)OC7OCC(C(=O)C)C(O)C7(OC6OC(C)C(OC4OCC(O)C(O)C4(O))C(OC5OC(CO)C(O)C(O)C5(O))C6(O)))(CCC89(C))))))),1
541,O=CC9(C)(C(OC4OC(C)C(O)C(O)C4(OC3OC(C)C(OC1OCC(O)C(O)C1(O))C(OC2OC(CO)C(O)C(O)C2(O))C3(O)))CCC8(C)(C9(CCC6(C)(C8(CC=C5C7CC(C)(C)CCC7(C(=O)O)(CCC56(C))))))),1
542,O=C(OC)C3=COC(C)C4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC34),1
543,O=CC%10(C)(CCC7%11(COC8(CCC6C9(C)(CCC(OC5OCC(OC3OC(CO)C(O)C(OC1OC(CO)C(O)C(O)C1(O))C3(OC2OCC(O)C(O)C2(O)))C(O)C5(OC4OC(CO)C(O)C(O)C4(O)))C(C)(C)C9(CCC6(C)C8(C)(CC7(O)))))(C%11(C%10)))),1
544,O=CC9(C)(CCC6%10(COC7(CCC5C8(C)(CCC(OC4OCC(OC2OC(CO)C(O)C(O)C2(OC1OCC(O)C(O)C1(O)))C(O)C4(OC3OC(CO)C(O)C(O)C3(O)))C(C)(C)C8(CCC5(C)C7(C)(CC6(O)))))(C%10(C9)))),1
545,O=CC%10(C)(CCC7%11(COC8(CCC6C9(C)(CCC(OC5OCC(OC3OC(COC1OC(CO)C(O)C(O)C1(O))C(O)C(O)C3(OC2OCC(O)C(O)C2(O)))C(O)C5(OC4OC(CO)C(O)C(O)C4(O)))C(C)(C)C9(CCC6(C)C8(C)(CC7(O)))))(C%11(C%10)))),1
546,O=CC8(C)(CCC59(COC6(CCC4C7(C)(CCC(OC3OCC(OC1OC(CO)C(O)C(O)C1(O))C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))C(C)(C)C7(CCC4(C)C6(C)(CC5(O)))))(C9(C8)))),1
547,O=C(OC3OC(COC2OC(CO)C(OC1OC(C)C(O)C(O)C1(O))C(O)C2(O))C(O)C(O)C3(O))C8%10(CCC(C)(C)CC%10(C7=CCC6C9(C)(CCC(OC5OCC(O)C(O)C5(OC4OC(C)C(O)C(O)C4(O)))C(C)(CO)C9(CCC6(C)C7(C)CC8)))),1
548,O=C(O)C57(CCC(C)(C)CC7(C4=CCC3C6(C)(CCC(OC2OCC(O)C(O)C2(OC1OC(C)C(O)C(O)C1(O)))C(C)(CO)C6(CCC3(C)C4(C)CC5)))),1
549,O=C(OC3OC(COC2OC(CO)C(OC1OC(C)C(O)C(O)C1(O))C(O)C2(O))C(O)C(O)C3(O))C8%10(CCC(C)(C)CC%10(C7=CCC6C9(C)(CCC(OC5OCC(O)C(O)C5(OC4OC(C)C(O)C(O)C4(O)))C(C)(C)C9(CCC6(C)C7(C)CC8)))),1
550,O=C(O)C57(CCC(C)(C)CC7(C4=CCC3C6(C)(CCC(OC2OCC(O)C(O)C2(OC1OC(C)C(O)C(O)C1(O)))C(C)(C)C6(CCC3(C)C4(C)CC5)))),1
551,O=C(OC3OC(COC2OC(CO)C(OC1OC(C)C(O)C(O)C1(O))C(O)C2(O))C(O)C(O)C3(O))C79(CCC(C)(C)CC9(C6=CCC5C8(C)(CCC(OC4OCC(O)C(O)C4(O))C(C)(CO)C8(CCC5(C)C6(C)CC7)))),1
552,O=C(O)C46(CCC(C(=O)OC)(C)CC6(C3=CCC2C5(C)(CCC(OC1OCC(O)C(O)C1(O))C(C)(CO)C5(CCC2(C)C3(C)CC4)))),1
553,O=C(OC)C4=COC(C)C5CN3CCC2(C(=O)Nc1c(OC)c(OC)ccc12)C3CC45,1
554,O=C(O)C46(CCC(C(=O)OC)(C)CC6(C3=CCC2C5(C)(CC(O)C(OC1OCC(O)C(O)C1(O))C(C)(CO)C5(CCC2(C)C3(C)CC4)))),1
555,O=C(O)C57(CCC(C(=O)OC)(C)CC7(C4=CCC3C6(C)(CCC(OC2OCC(OC1OC(CO)C(O)C(O)C1(O))C(O)C2(O))C(C)(CO)C6(CCC3(C)C4(C)CC5)))),1
556,O=C(O)C57(CCC(C(=O)OC)(C)CC7(C4=CCC3C6(C)(CC(O)C(OC2OCC(OC1OC(CO)C(O)C(O)C1(O))C(O)C2(O))C(C)(CO)C6(CCC3(C)C4(C)CC5)))),1
557,O=C(O)C5(C)(CCC6(C(=O)O)(CCC3(C(=CCC2C4(C)(CC(O)C(OC1OCC(O)C(O)C1(O))C(C)(CO)C4(CCC23(C))))C6(C5))(C))),1
558,O=C(OC)C7(C)(CCC8(C(=O)OC1OC(CO)C(O)C(O)C1(O))(CCC5(C(=CCC4C6(C)(CC(O)C(OC3OCC(OC2OC(CO)C(O)C(O)C2(O))C(O)C3(O))C(C)(CO)C6(CCC45(C))))C8(C7))(C))),1
559,O=C(OC)C7(C)(CCC8(C(=O)OC1OC(CO)C(O)C(O)C1(O))(CCC5(C(=CC(=O)C4C6(C)(CC(O)C(OC3OCC(OC2OC(CO)C(O)C(O)C2(O))C(O)C3(O))C(C)(CO)C6(CCC45(C))))C8(C7))(C))),1
560,O=C(OC)C6(C)(CCC7(C(=O)OC1OC(CO)C(O)C(O)C1(O))(CCC4(C(=CCC3C5(C)(CC(O)C(OC2OCC(O)C(O)C2(O))C(C)(CO)C5(CCC34(C))))C7(C6))(C))),1
561,O=C(OC)C7(C)(CCC8(C(=O)OC1OC(CO)C(O)C(O)C1(O))(CCC5(C(=CCC4C6(C)(CCC(OC3OCC(OC2OC(CO)C(O)C(O)C2(O))C(O)C3(O))C(C)(CO)C6(CCC45(C))))C8(C7))(C))),1
562,O=CC%14(C)(C(OC3OC(C(=O)O)C(O)C(OC1OCC(O)C(O)C1(O))C3(OC2OC(CO)C(O)C(O)C2(O)))CCC%13(C)(C%14(CCC%11(C)(C%13(CC=C%10C%12CC(C)(C)CCC%12(C(=O)OC9OC(C)C(OC5OC(C)C(OC(=O)C)C(OC4OCC(O)C(O)C4(O))C5(O))C(O)C9(OC8OC(C)C(OC7OCC(O)C(OC6OCC(O)C(O)C6(O))C7(O))C(O)C8(O)))(C(O)CC%10%11(C))))))),1
563,O=CC%13(C)(C(OC3OC(C(=O)O)C(O)C(OC1OCC(O)C(O)C1(O))C3(OC2OC(CO)C(O)C(O)C2(O)))CCC%12(C)(C%13(CCC%10(C)(C%12(CC=C9C%11CC(C)(C)CCC%11(C(=O)OC8OC(C)C(OC4OC(C)C(OC(=O)C)C(O)C4(O))C(O)C8(OC7OC(C)C(OC6OCC(O)C(OC5OCC(O)C(O)C5(O))C6(O))C(O)C7(O)))(C(O)CC9%10(C))))))),1
564,O=C(OC)C2=CC5(CC)(CCCN4CCc3c1ccccc1n2c3C45),1
565,O=C(O)C%10(C)(C(OC1OCC(O)C(O)C1(O))CCC9(C)(C%10(CCC7(C)(C9(CC=C6C8CC(C)(C)CCC8(C(=O)OC5OC(COC3OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(O)C3(O))C(O)C(OC4OC(CO)C(O)C(O)C4(O))C5(O))(CCC67(C))))))),1
566,O=C(O)C%10(C)(C(OC1OCC(O)C(O)C1(O))CCC9(C)(C%10(CCC7(C)(C9(CC=C6C8CC(C)(C)CCC8(C(=O)OC5OC(COC3OC(CO)C(O)C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))C(O)C(OC4OC(CO)C(O)C(O)C4(O))C5(O))(CCC67(C))))))),1
567,O=C(O)C%10(C)(C(OC1OC(CO)C(O)C(O)C1(O))CCC9(C)(C%10(CCC7(C)(C9(CC=C6C8CC(C)(C)CCC8(C(=O)OC5OC(COC3OC(CO)C(O)C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))C(O)C(OC4OC(CO)C(O)C(O)C4(O))C5(O))(CCC67(C))))))),1
568,O=C(O)C9(C)(C(OC1OCC(O)C(O)C1(O))CCC8(C)(C9(CCC6(C)(C8(CC=C5C7CC(C)(C)CCC7(C(=O)OC4OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(OC3OC(CO)C(O)C(O)C3(O))C4(O))(C(O)CC56(C))))))),1
569,O=C(O)C%10(C)(C(OC1OCC(O)C(O)C1(O))CCC9(C)(C%10(CCC7(C)(C9(CC=C6C8CC(C)(C)CCC8(C(=O)OC5OC(COC3OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(O)C3(O))C(O)C(OC4OC(CO)C(O)C(O)C4(O))C5(O))(C(O)CC67(C))))))),1
570,O=C(O)C7(C)(C(OC1OCC(O)C(O)C1(O))CCC8(C)(C9C=CC6=C5CC(C)(C)CCC5(C(=O)OC4OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(OC3OC(CO)C(O)C(O)C3(O))C4(O))CCC6(C)C9(C)(CCC78))),1
571,O=C(O)C(=C)C7CCC5(C)(C(CC=C4C6CC(C)(C)CCC6(C(=O)OC3OC(COC1OC(CO)C(O)C(O)C1(O))C(O)C(OC2OC(CO)C(O)C(O)C2(O))C3(O))(C(O)CC45(C)))C7(C)(CCCO)),1
572,O=C(O)C9(C)(C(OC1OCC(O)C(O)C1(O))CCC8(C)(C9(CCC6(C)(C8(CC=C5C7CC(C)(C)CCC7(C(=O)OC4OC(COC2OC(CO)C(O)C(O)C2(O))C(O)C(OC3OC(CO)C(O)C(O)C3(O))C4(O))(CCC56(C))))))),1
573,O=C(O)C9(C)(C(OC1OCC(O)C(O)C1(O))CCC8(C)(C9(CCC6(C)(C8(CC=C5C7CC(C)(C)CCC7(C(=O)OC4OC(COC3OC(CO)C(O)C(O)C3(OC2OC(CO)C(O)C(O)C2(O)))C(O)C(O)C4(O))(CCC56(C))))))),1
574,O=CC5(C)(C(O)CCC4(C)(C5(CCC2(C)(C4(CC=C1C3CC(C)(C)CCC3(C(=O)O)(CCC12(C))))))),1
575,O=C(OC)C3=C2Nc1ccccc1C25(CCN4CCCC(C3)(CC)C45),1
576,O=C(O)C45(CCC2(C(=CCC1C3(C)(CCC(O)C(C(=O)O)(C)C3(CCC12(C))))C5(CC(C)(C)CC4))(C)),1
577,O=CC5(C)(C(O)CCC4(C)(C5(CCC2(C)(C4(CC=C1C3CC(C)(C)CCC3(C(=O)O)(C(O)CC12(C))))))),1
578,O=CC5(C)(CCC26(COC3(CCC1C4(C)(CCC(O)C(C)(C)C4(CCC1(C)C3(C)(CC2(O)))))(C6(C5)))),1
579,O=C(O)C45(CCC2(C(=CCC1C3(C)(CCC(O)C(C)(CO)C3(CCC12(C))))C5(CC(C)(C)CC4))(C)),1
580,O=C(O)C45(CCC2(C(=CCC1C3(C)(CCC(O)C(C)(C)C3(CCC12(C))))C5(CC(C)(C)CC4))(C)),1
581,O=C(O)C45(CCC2(C(=CCC1C3(C)(CC(O)C(O)C(C)(CO)C3(CCC12(C))))C5(CC(C)(C)CC4))(C)),1
582,O=C(O)C35(CCC(C)(C)CC5(C2=CCC1C4(C)(CCC(O)C(C)(C)C4(CCC1(C)C2(C)CC3(O))))),1
583,O=C(O)C35(CCC(C(=O)OC)(C)CC5(C2=CC(=O)C1C4(C)(CC(O)C(O)C(C)(CO)C4(CCC1(C)C2(C)CC3)))),1
584,O=C(O)C35(CCC(C)C(C)C5(C2=CCC1C4(C)(CC(O)C(O)C(C)(CO)C4(CCC1(C)C2(C)CC3)))),1
585,O=C(O)C4(C)(CCC5(C(=O)O)(CCC2(C(=CCC1C3(C)(CC(O)C(O)C(C)(CO)C3(CCC12(C))))C5(C4))(C))),1
586,O=C4n2c1ccccc1c3c2C5N(CC3)CCCC5(C4)(CC),1
587,O=C(O)C35(CCC(C(=O)OC)(C)CC5(C2=CCC1C4(C)(CC(O)C(O)C(C)(CO)C4(CCC1(C)C2(C)CC3)))),1
588,O=C(O)C35(CCC(C(=O)OC)(C)CC5(C2=CCC1C4(C)(CCC(O)C(C)(CO)C4(CCC1(C)C2(C)CC3)))),1
589,O=C(OC3OC(COC1OCC(O)C(O)C1(O))C(O)C(O)C3(OC2OC(C)C(O)C(O)C2(O)))C79(CCC(C)(C)CC9(C6=CCC5C8(C)(CCC(OC4OC(CO)C(O)C(O)C4(O))C(C)(CO)C8(CCC5(C)C6(C)CC7)))),1
590,O=C3OCCC2C3(=COC(OC1OC(CO)C(O)C(O)C1(O))C2(C=C)),1
591,O=C3NCCC2C3(=COC(OC1OC(CO)C(O)C(O)C1(O))C2(C=C)),1
592,O=C1OC=C(C=C1)C3CCC4(O)(C5(O)(CC(OC(=O)C)C2=CC(O)CCC2(C)C5(CCC34(C)))),1
593,OC3C(=C)C(=CC=C1CCCC2(C)(C1CCC2(C(C)CCCC(O)(C)C)))CC(O)C3,1
594,OC6CC5=CCC1C(CCC24(COC3(OCC(OC12(O))C34)(C)))C5(C)CC6,1
595,OC4CC3=CCC2=C1OC5COC6(OCC1(CCC2C3(C)CC4)C56)(C),1
596,O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=COC(=O)C=C1)CCC23(O))))),1
597,O=C4n2c1cc(OC)ccc1c3c2C5N(CC3)CCCC5(C4)(CC),1
598,O=C1OC=C(C=C1)C3CCC4(O)(C5CCC2=CC(=O)C=CC2(C)C5(CCC34(C))),1
599,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(O)CCC2(C)C5(CCC34(C))),1
600,O=CC56(CC7OC1(O)(C(OC(C)CC1(OC(=O)C))OC7(CC6(CCC3C5(CCC4(C)(C(C2=CC(=O)OC2)CCC34(O))))))),1
601,O=CC56(CC7OC1(O)(C(OC(C)CC1(O))OC7(CC6(CCC3C5(CCC4(C)(C(C2=CC(=O)OC2)CCC34(O))))))),1
603,O=C1OCC(=C1)C3CCC4(O)(C58(OC8(CC2CC6OC7OC(C)CC(O)C7(O)(OC6(CC2(C)C5(C(O)C(=O)C34(C))))))),1
604,O=C1OCC(=C1)C3CCC4(O)(C58(OC8(CC2CC6OC7OC(C)CC(=O)C7(O)(OC6(CC2(C)C5(C(O)C(=O)C34(C))))))),1
605,O=CC45(CC6OC7(O)(C(=O)CC(OC7(OC6(CC5(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O)))))))C)),1
606,O=CC45(CCC(O)CC5(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)C(O)CC23(O))))),1
607,O=C1OCC(=C1)C3C(O)CC4(O)(C5CCC2CC(O)CCC2(CO)C5(CCC34(C))),1
608,c1ccc5c(c1)c2c3n5(C=CC4(CC)(CCCN(CC2)C34)),1
609,O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)C(O)CC23(O))))),1
610,O=C1OCC(=C1)C2CCC3(O)(C4CCC5(O)(CC(O)CCC5(C)(C4(CCC23(C))))),1
611,O=C1OCC(=C1)C3CCC4(O)(C5CCC2=CC(O)CCC2(C)C5(CCC34(C))),1
612,O=C1OCC(=C1)C2CCC3(O)(C4CCC5(O)(CC(O)CCC5(CO)(C4(CCC23(C))))),1
613,O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O))))),1
615,O=C1OCC(=C1)C2CCC3(O)(C4CCC5(O)(CC(O)CCC5(C)(C4(C(O)CC23(C))))),1
616,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(O)CCC2(CO)C5(C(O)CC34(C))),1
617,O=C1OCC(=C1)C2CCC3(O)(C4CCC5(O)(CC(O)CCC5(CO)(C4(C(O)CC23(C))))),1
618,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(O)CCC2(C)C5(C(O)CC34(C))),1
619,O=C(OC)C4(O)(n2c1ccccc1c3c2C5N(CC3)CCCC5(C(=O)C)(C4)),1
620,O=CC45(CCC(O)CC5(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O))))),1
621,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(O)CCC2(CO)C5(CCC34(C))),1
622,O=C(OC3CC(C)(C)CC4C2=CCC1C5(C)(CCC(=O)C(C)(C)C5(CCC1(C)C2(C)CCC34(C(=O)O))))C=C(C)C,1
623,O=COC3CC4(O)(C5CCC1CC(O)CCC1(C)C5(CCC4(C)(C3(C2=CC(=O)OC2)))),1
624,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(O)CCC2(C)C5(CC(O)C34(C))),1
625,O=C1OCC(=C1)C3C(O)CC4(O)(C5CCC2CC(O)CCC2(C)C5(CC(O)C34(C))),1
627,O=C1OCC(=C1)C3C(O)CC4(O)(C5CCC2CC(O)CCC2(C)C5(CCC34(C))),1
628,O=C1OCC(=C1)C3C(OC(=O)C)CC4(O)(C5CCC2CC(O)CCC2(C)C5(CCC34(C))),1
629,O=C1OCC(=C1)C3CCC46(OC56(CCC2CC(O)CCC2(C)C5(CCC34(C)))),1
630,O=C(OC1OC(CO)C(O)C(O)C1(O))C(=C)CCO,1
631,O=C(OC)C4(O)(n2c1ccccc1c3c2C5N(CC3)CCCC5(CC)(C4)),1
632,O=C1OCC(=C1)C5CCC23(C(=O)C5(C)(CCC2C4(C)(CCC(O)CC4(CC3)))),1
634,O=CC15(C(=CC(O)CC1)CCC3C5(CCC4(C)(C(C2=CC(=O)OC2)CCC34(O)))),1
636,O=C4C=CCC5(O)(C1OC1C3c2ccc(cc2CCC3C45(C))C(C)C6OC(O)C7(OC7(C)(C6))(C)),1
637,O=C1OC(CC(=C1C)C)C(C)C3CCC4C5C2OC2C6(O)(CC=CC(=O)C6(C)(C5(CC(O)C34(C)))),1
638,O=C1OC(CC(=C1C)C)C(C)C3CCC4C5C2OC2C6(O)(CC=CC(=O)C6(C)(C5(CC(=O)C34(C)))),1
