,SMILES,Experimental value
152,O=C2N=C(O)C3=Nc1cc(c(cc1N(C3(=N2))CC(O)C(O)C(O)CO)C)C,0
153,O=C(O)C(N)C(O)C,0
154,Oc1ncc(c(O)n1)C,0
155,O=C(O)C(N)Cc2c[nH]c1ccccc12,0
156,O=C(O)C(N)Cc1ccc(O)cc1,0
157,Oc1nccc(O)n1,0
158,O=C1N=C(O)C=CN1C2OC(CO)C(O)C2(O),0
159,O=C(O)C(N)C(C)C,0
160,O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
161,O=P(O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
162,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
163,O=P(O)(O)OCC3OC(n2cnc1c2(NC(=N)NC1(O)))C(O)C3(O),0
164,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)O)C(O)C2(O),0
165,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2(O),0
166,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2(O),0
167,O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)CC3(O),0
168,O=P(O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)CC3(O),0
169,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)CC3(O),0
170,O=C1N=C(O)C(=CN1C2OC(COP(=O)(O)O)C(O)C2)C,0
171,O=C1N=C(O)C(=CN1C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2)C,0
172,O=C1N=C(O)C(=CN1C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2)C,0
173,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)O)C(O)C2,0
174,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2,0
175,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2,0
176,O=C(O)C(=O)CC1(C=CC(O)C=C1)C(=O)O,0
177,OC2C=C1CC(O)CCC1(C)C3CCC4(C)(C(CCC4(C23))C(C)CCCC(C)C),0
178,OC1CCC3(C)(C(C1)CC(O)C2C4CCC(C(C)CCCC(C)C)C4(C)(C(O)CC23)),0
179,O=C1CCC3(C)(C(C1)CCC2C4CCC(=O)C4(C)(CCC23)),0
180,OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCC=C(C)C))C3(C)CC4,0
181,O=C3C=C2CC(O)C1C4CCC(C(C)CCCC(C)C)C4(C)(C(O)CC1C2(C)CC3),0
182,OC3CCC4(C2=C(C1=CCC(C(C)CCC(=C)C(C)C)C1(C)CC2)CCC4(C3(C)))(C),0
183,O=C1C(OC)=C(OC)C(=O)C(=C1C)CC=C(C)CCC=C(C)C,0
184,OC1CCC2(C3=C(CCC2(C1))C4CCC(C(C)CCC=C(C)C)C4(C)(CC3))(C),0
185,NCCc1ccccc1,0
186,Oc1ccc(cc1(OC))CCN,0
187,O=C(O)c1ccccc1(N),0
188,O=C(O)C(=O)CC(=O)c1ccccc1(N),0
189,Oc1ccc(cc1)CCN,0
190,O=C(O)C(N)Cc1ccc(O)c(O)c1,0
191,O=C(O)C(O)=Cc1ccccc1,0
192,Oc1ccc(cc1(O))CCN,0
193,O=C(O)c1cccc(O)c1(N),0
194,NCCCCN,0
195,O=C(O)CCNC(=N)O,0
196,OC(=NCCCCN)C,0
197,O=C(O)C(N=C(O)CCC(N)C(=O)O)CS,0
198,O=C(O)CN=C(O)C(N=C(O)CCC(N)C(=O)O)CS,0
199,O=N,0
200,O=CSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,0
201,N=C(N)NCCCCN,0
202,O=C(O)C(NC(=N)O)NC(=N)O,0
203,N,0
204,NCCCCCN,0
205,[C-]#[O+],0
206,NCCCN,0
207,O=C(O)C(O)NC(=N)O,0
208,OC(=NCCS)CCN=C(O)C(O)C(C)(C)CO,0
209,O=C(O)CC(NC(=N)NCCCC(N)C(=O)O)C(=O)O,0
210,O=C(O)CN=C(O)C(N=C(O)CCC(N)C(=O)O)CSC(=O)C(O)C,0
211,O=C(O)CN=C(O)C(N=C(O)CCC(N)C(=O)O)CSCO,0
212,O=C(O)CN=C(O)C(N=C(O)CCC(N)C(=O)O)CSC(C=CC=CC=CCC=CCCCCC)C(O)CCCC(=O)O,0
213,O=C(O)CCCC=CCC=CC=CC(OO)CC=CCCCCC,0
214,O=C(O)CCCC=CCC=CCC=CC=CC(OO)CCCCC,0
215,O=C(O)CN(C(=N)N)C,0
217,O=C(O)CN=C(O)C(N=C(O)CCC(N)C(=O)O)CSSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,0
218,O=C(O)CCC(N=C(O)C)C(=O)O,0
219,O=C(O)CNC(=N)N,0
220,OO,0
221,O=C(O)CC(NC(=N)O)C(=O)O,0
222,O=C(O)C(N)CCCNC(=N)O,0
223,O=O,0
224,O=C(O)CCC(=O)CN,0
225,O=CCCC(N)C(=O)O,0
226,O=C(O)C(N)C(=O)C,0
227,O=C(O)C(O)CC(N)C(=O)O,0
228,O=CC=CC=C(N)C(=O)O,0
229,O=C(O)C(N)CCS,0
230,O=C(O)C(=O)CO,0
231,O=C(O)C(=O)CS,0
232,O=C(O)C1N=CC(O)C1,0
233,O=C(O)CCC1N=CN=C1(O),0
234,O=C(O)C1N=CCCC1,0
235,OCC1(O)(OCC(O)C1(O)),0
236,O=C(O)C1N=C(O)N=C(O)C1,0
237,O=C(O)C1N=CCC1,0
238,O=C(O)CCCC=CCC2C1OOC(C1)C2(C=CC(O)CCCCC),0
239,O=C(O)CCCC=C1OC2CC(O)C(C=CC(O)CCCCC)C2(C1),0
240,O=C(O)CCCC=CCC2C(OC1OC2(C1))C=CC(O)CCCCC,0
242,O=C(O)C1N=C(O)CC1,0
243,O=C(O)C1OC(O)C(O)C(O)C1(O),0
244,O=C(O)c1nc(O)nc(O)c1,0
245,O=Cc1c(O)c(ncc1CO)C,0
246,O=C(O)c1ncccc1(C(=O)O),0
247,O=C(O)C=Cc1cnc[nH]1,0
248,O=CCc2c[nH]c1ccccc12,0
249,O=C(O)Cc2c[nH]c1ccccc12,0
250,O=C(O)Cc1c(c[nH]c1CN)CCC(=O)O,0
251,Oc1c(ncc(c1CN)CO)C,0
252,NCCc2c[nH]c1ccccc12,0
253,Oc1nc(O)c2nc(O)[nH]c2(n1),0
254,Oc1nc(O)c2nc[nH]c2(n1),0
255,O=C1N=C(O)C=CN1C2OC(CO)C(O)C2,0
256,OCC3OC(n2cnc1c(ncnc12)N)CC3(O),0
257,O=C(O)CCCCC1C2NC(O)=NC2(CS1),0
258,N=C3Nc1c(ncn1C2OC(CO)C(O)C2)C(O)N3,0
259,OC(=NC1C(O)OC(CO)C(O)C1(O))C,0
260,O=C(O)C(N)CCSCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
261,OC3C(O)C(OC3(n2cnc1c(ncnc12)N))CSC,0
262,O=C(O)C1(O)(OC(C(O)C(O)CO)C(N=C(O)C)C(O)C1),0
263,OCC1OC(O)C(N)C(O)C1(O),0
264,OCC3OC(n2cnc1cc(c(cc12)C)C)C(O)C3(O),0
265,Oc1ccc2[nH]cc(c2(c1))CCN,0
266,O=C1N=C(O)C(=CN1C2OC(CO)C(O)C2)C,0
268,Oc3ncnc1c3(ncn1C2OC(CO)C(O)C2(O)),0
270,Oc1nc(O)c2ncn(c2(n1))C3OC(CO)C(O)C3(O),0
271,Oc3ncnc1c3(ncn1C2OC(CO)C(O)C2),0
272,n1c[nH]c(c1)CCN,0
273,O=C(O)Cc1c(c[nH]c1Cc2[nH]c(c(c2CCC(=O)O)CC(=O)O)Cc3[nH]c(c(c3CCC(=O)O)CC(=O)O)Cc4[nH]c(c(c4CCC(=O)O)CC(=O)O)CO)CCC(=O)O,0
274,Oc1ncnc2[nH]cnc12,0
275,Oc1ccc2[nH]cc(c2(c1))CCN=C(O)C,0
276,N=C(O)c1cnccc1,0
277,O=C(O)CCCCC(O)C=CC=CC=CCC=CCCCCC,0
278,O=P(O)(O)O,0
279,O=P(O)(O)OCCN,0
280,O=P(O)(O)OC1C(O)C(OC1(COP(=O)(O)OS(=O)(=O)O))n3cnc2c(ncnc23)N,0
281,O=P(O)(O)OP(=O)(O)O,0
282,O=P(O)(OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O))OS(=O)(=O)O,0
