O=CC
ON=CC
O=C(N)C
O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C
O=[N+]([O-])c1oc(cc1)c2cnc(NN=C(C)C)s2
N#CC
ON=C(C)C
O=C(OC(C=C)c1ccc2OCOc2(c1))C
O=C(Nc1ccc(cc1)c2ccccc2)C
O=C(Nc2cccc3c1ccccc1Cc23)C
O=C(Nc2ccc3c1ccccc1Cc3(c2))C
O=C(Nc1cccc3c1c2ccccc2C3)C
O=C(O)Cc1ccc(cc1)NC(=O)C
O=C(O)C(NC(=O)C)CS
O=CC=C
O(CC)C(OCC)C=C
ON=CC=C
O=C2c1ccccc1N(c3c4C=CC(Oc4(cc(OC)c23))(C)C)C
O=C(N)C=C
O=C(O)C=C
N#CC=C
O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C
O=C(N)CCCCC(=O)N
O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2
O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(O)CC5
O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(=O)CC5
O=C(O)Cc1ccc(OCC=C)c(c1)Cl
O=C(ON=CC(C)(C)SC)NC
O=C(N)NC1NC(=O)NC1(=O)
OCC=C
C(=NCC=C)=S
O=C(OCC=C)CC(C)C
O=NN(C(=O)N)CC=C
O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)
O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)
O=[N+]([O-])c1oc(cc1)c2nnc(o2)N
O=[N+]([O-])c1oc(cc1)c2nnc(N)s2
O=[N+]([O-])c1oc(cc1)c2nc(N)sc2
O=[N+]([O-])c1ccc(O)c(N)c1
O=[N+]([O-])c1ccc(N)c(O)c1
O=[N+]([O-])c1cc(N)ccc1(O)
O=[N+]([O-])c1cnc(N)s1
O=C1c3ccccc3(C(=O)c2cc(N)ccc12)
N(=Nc1ccccc1C)c2ccc(N)c(c2)C
O=C(O)CCCCCN
O=C(O)CC1(CN)(CCCCC1)
n1cnc(N)[nH]1
O=C(O)CCCCCCCCCCN
O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C
O=NN(C(=O)N)CCCCC
n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl
O=C(O)c1ccccc1(N)
O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C
O=C1C(O)=C(O)OC1C(O)CO
O=C(O)CC(N)C(=O)NC(C(=O)OC)Cc1ccccc1
O=C(O)c1ccccc1(OC(=O)C)
Fc1ccc(cc1)Cn3c(nc2ccccc23)NC5CCN(CCc4ccc(OC)cc4)CC5
n1c(nc(nc1NC(C)C)Cl)NCC
O=C1N=C(N)C=NN1C2OC(CO)C(O)C2(O)
N#[N+]C=C([O-])OCC(N)C(=O)O
O=C(OC(C)C)C5=C(NC(N)=C(C(=O)OC1CN(C1)C(c2ccccc2)c3ccccc3)C5(c4cccc(c4)[N+](=O)[O-]))C
O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)
N(=Nc1ccccc1)c2ccccc2
[O-][N+](=NC)C
[O-][N+](=NCCC)CCC
[O-][N+](=NC(C)C)C(C)C
