O(c1ccc(cc1)CC=C)C
Oc1ccc(cc1(O))C
O=C(O)c1ccccc1
Oc1ccc(O)c(c1)C(C)(C)C
O=C(O)c1ccccc1(N)
O=C(O)C=Cc1ccc(O)c(O)c1
O=C(OCCC)c1cc(O)c(O)c(O)c1
OC(c1ccccc1)C(NC)C
NC(C)Cc1ccccc1
Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC
OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)
O=C(NCc1ccc(O)c(OC)c1)CCCCC=CC(C)C
O=C2Oc1cc(OC)cc(OC)c1C3=C2C(=O)CC3
O=C(OCCOCC(OCCO)C1OC(OCCO)CC1(OCCO))CCCCCCCC=CCCCCCCCC
O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34))CCC)(C)
O=C(OCc1ccccc1)C
O=C1Oc2ccccc2(C=C1)
O=C(OC)c1ccc(cc1)C(=O)OC
O=C(N)c1ccccc1(OCC)
O=C(OCC=C)CC(C)C
O=C(c1ccccc1)C(O)c2ccccc2
OC1CC(C)CCC1(C(C)C)
O=C1C=C(C)CC(C)(C)C1
Oc1ccc(OC)cc1C(C)(C)C
