CCCCCCCCC
C(=C(C)CC(C)C)C(C)C
C=CCCCCCCCC
C(=C(C)CC(C)(C)C)C(C)(C)C
CC(CC(C)(C)C)CC(C)(C)C
CCCCC(C)CCCC(C)C
C=CCCCCCCCCCC
CCCCCCCCCCCC
OCCCCCCCC(C)C
OCCCCCCCCCCC(C)C
Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl
C1CCC2CCCC2(C1)
C1CCC2CCCCC2(C1)
C1=CC(C)CC(C)(C)C1
CC1CC(C)CC(C)C1
CC1CC(C)CC(C)(C)C1
CC(C)CC1CCCCC1
c1ccc2ccccc2(c1)
c1ccc2cc(ccc2(c1))C
c1ccc2cc(c(cc2(c1))C)C
c1ccc2c(c1)cc(cc2C)C
c1cc(cc2cc(c(cc12)C)C)C
c1c(cc(cc1C)C)C
c1cc(c(c(c1C)C)C)C
c1ccc2c(c1)C(C)CCC2C
Oc1ccc(cc1C(C)(C)C)C
c1cc2cccc3C=Cc(c1)c23
c1ccc3c(c1)c2ccccc2C3
c1ccc2cc3ccccc3(cc2(c1))
c1ccc3c(c1)ccc2ccccc23
c1cc2ccc3cccc4ccc(c1)c2c34
c1ccc(cc1)c3cccc2ccccc23
c1ccc2cc3cc(ccc3(cc2(c1)))C
c1ccc3c(c1)cc2ccccc2c3C
c1ccc3c(c1)ccc2c3(cccc2C)
c1ccc2c(c1)c4cccc3cccc2c34
c1cc2ccc3ccc(c4ccc(c1)c2c34)C
c1ccc3c(c1)c2ccccc2c4ccccc34
c3ccc4cc2c(ccc1ccccc12)cc4(c3)
c1ccc2c(c1)ccc3c4ccccc4(ccc23)
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
c1cc2cccc3c5cccc4cccc(c(c1)c23)c45
c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45
o2c1ccc(cc1c3cc(ccc23)Cl)Cl
o2c1cc(ccc1c3cccc(c23)Cl)Cl
O1c3ccccc3(Oc2cc(c(cc12)Cl)Cl)
o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl
O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl
o2c1cc(ccc1c3c2cc(c(c3Cl)Cl)Cl)Cl
o2c1ccc(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl
O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)
O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)
O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C=CC(=C)C
C=C(C)CC(C)(C)C
C=CCCCCCCC
C(C=C(C)C)=C(C)C
OCC(C)(C)C(O)C(C)C
OCC(C)(C)CO
OCC(CO)(CO)CO
O(CC)CC
O(CCCC)CCCC
O(CCC(C)C)CCC(C)C
O(C=C)CC(CC)CCCC
OC(C)COCC(O)C
O=C(O)C(C(C(=O)O)Br)Br
O=P(O)(OCC(CC)CCCC)OCC(CC)CCCC
OC(C)(C)C
C=C(c1ccccc1)C
c1cc(c(cc1C)C)C
C=Cc1ccccc1CC
c1cc(cc(c1)C(C)C)C
c1cc(ccc1CC)CC
c1cc(cc(c1)CC)CC
C=Cc1cccc(C=C)c1
Oc1ccc(cc1)C(C)(C)C
Oc1ccc(cc1)C(C)CC
Oc1ccc(cc1)CCCCCCCC
Oc1c(cccc1C(C)CC)C(C)CC
Oc1ccc(cc1C(C)(C)C)C(C)(C)C
Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C
Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C
Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C
Oc1ccc(cc1)Cc2ccccc2
OCC(O)COc1ccc(cc1)C(C)CC
Oc1ccccc1Cl
Oc1ccc(cc1)Cl
Oc1cccc(c1)Cl
Oc1ccccc1Br
Oc1ccc(cc1)Br
Oc1cccc(c1)Br
Oc1ccc(c(c1)C)Cl
Oc1cc(ccc1Cl)C
Oc1ccc(cc1C)Cl
Oc1c(cccc1Cl)Cl
Oc1ccc(c(c1)Cl)Cl
Oc1ccc(cc1Cl)Cl
Oc1cccc(c1Cl)Cl
Oc1cc(ccc1Cl)Cl
Oc1cc(cc(c1)Cl)Cl
Oc1cc(c(cc1Cl)Cl)Cl
Oc1c(cc(c(c1Cl)Cl)Cl)Cl
O=C(O)c1ccc(cc1)C(C)(C)C
O=C(O)c1ccccc1Cl
O=S(=O)(O)c1ccc(cc1)CCCCCCCCCCCCCC
C=CC1CC=CCC1
CC1CCCCC1
C1CCCCC1
C1=CCCC=CCCC=CCC1
C1CCCCCCCCCCC1
OC1CC(C)CCC1(C(C)C)
O=C(O)c1c(ccc(c1Cl)Cl)Cl
O=C(O)C1CC=CCC1(C(=O)O)
Oc1c(cccc1C2CCCCC2)C3CCCCC3
c1ccc(cc1)Cc2ccccc2
Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl
Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl
Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C
O=C(c1ccccc1)c2ccc(OCCCCCCCC)cc2(O)
O=C(O)C(O)(c1ccccc1)c2ccccc2
