O=C
C(=N)(N)N
C(=O)(OCC(=O)C1(C2(C(C3C(C4(C(=CC(=O)CC4)CC3)C)C(O)C2)CC1)C)O)C
C(=O)(OCC(=O)C1(C2(C(C3C(C(=O)C2)C4(C(=CC(=O)CC4)CC3)C)CC1)C)O)C
O=C1C(C(=O)NC(=O)N1)(c2ccccc2)CC
C(=O)(OCC)C1(c2ccccc2)CCN(CC1)C
C1(C(=C)CCC(O)C1)=CC=C2C3C(C(C(C=CC(C(C)C)C)C)CC3)(CCC2)C
N(P1(=O)OCCCN1)(CCCl)CCCl
C(=O)(C(O)C)O
C(=O)(C1(C2(C(C3C(C4(C(=CC(=O)CC4)CC3)C)C(O)C2)CC1)C)O)CO
C(=O)(C1(C2(C(C3C(C4(C(=CC(=O)C=C4)CC3)C)C(O)C2)CC1)C)O)CO
c12c(cc(O)cc1)CCC3C2CCC4(C(O)C(O)CC43)C
c12c(cc(O)cc1)CCC3C2CCC4(C(O)CCC43)C
c12c3c4ccc1c5c(cc2ccc3ccc4)cccc5
O=C1N(c2ccccc2)N(C(=O)C1CCCC)c3ccccc3
C(=C(c1ccc(OCCN(CC)CC)cc1)c2ccccc2)(Cl)c3ccccc3
S=C1c2c(N=CN1)nc[nH]2
N(CCC=C1c2c(cccc2)CCc3c1cccc3)(C)C
C(=O)(Oc1cc2c(cc1)C3C(C4C(C(O)CC4)(CC3)C)CC2)c5ccccc5
S(c1cc2c(Sc3c(N2CCC4N(CCCC4)C)cccc3)cc1)C
N(CCCN1c2c(Sc3c1cccc3)ccc(Cl)c2)(C)C
O(c1cc2c(nccc2C(O)C3N4CC(C=C)C(C3)CC4)cc1)C
C(=O)(N1C(C(=O)NC(C(=O)NCC(=O)N)CC(C)C)CCC1)C2NC(=O)C(NC(=O)C(NC(=O)C(C(CC)C)NC(=O)C(NC(=O)C(N)CSSC2)Cc3ccc(O)cc3)CCC(=O)N)CC(=O)N
N(CCCC(Nc1c2c(ncc1)cc(Cl)cc2)C)(CC)CC
O=CC(C(C(O)CO)O)O
C(C(C(O)CO)O)(C(O)CO)O
O=C1C(=NC(=O)N=C1O)O
C(=O)(Oc1c(C(=O)O)cccc1)C
O=C1C(=C(O)C(O1)C(O)CO)O
C(=O)(c1c(O)cc(cc1)C)O
O=C1C(=CN(C(=O)N1)C2OC(C(O)C2)CO)C
c1(C(C(NC)C)O)ccccc1
O=CC(C(C(C(O)CO)O)O)O
O(Cc1c(cc2c(OCO2)c1)CCC)CCOCCOCCCC
C(=O)(OCCN(CC)CC)c1ccc(cc1)N
O=[N+](c1c(O)ccc([N+](=O)[O-])c1)[O-]
c1(c(O)ccc(C(O)CNC(C)C)c1)O
C(=O)(OC1CC2N(C(C3OC32)C1)C)C(c4ccccc4)CO
C(=O)(O)C1NCC(O)C1
c1(c(O)ccc(C(O)CN)c1)O
c1(c(O)ccc(C(O)CNC)c1)O
c1(cnc[nH]1)CCN
C(=O)(C(Cc1cc(I)c(Oc2cc(I)c(c(I)c2)O)c(I)c1)N)O
C(N(C)C)(=O)Oc1cc([N+](C)(C)C)ccc1
c1(ccccc1)CC(N)C
c1(ccccc1)CCNN
c1(O)ccc(cc1)N
C(=O)(OCC)N
C(C1(OC(=O)C)C2(C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1)C)#C
C(=O)(OCC(=O)C1(C2(C(C3C(C4(C(=CC(=O)C=C4)CC3)C)C(O)C2)CC1)C)O)C
c12c3c(O)ccc1CC4N(CCC25C(O3)C(O)C=CC54)C
O(c1c2c3c(cc1)CC4N(CCC35C(O2)C(O)C=CC54)C)C
C(c1ccccc1)(O)(C2CCCCC2)CCN3CCCCC3
C(Br)([N+](=O)[O-])(CO)CO
C(Cl)(Cl)(Cl)C(P(=O)(OC)OC)O
C(=O)(c1ccc(F)cc1)CCCN2CCC(c3ccc(Cl)cc3)(O)CC2
C(=O)(C(CS)N)O
Clc1c(C(c2ccc(Cl)cc2)C(Cl)Cl)cccc1
C(=O)(OCC(=O)C1(C2(C(C3C(C4(C(=CC(=O)C=C4)C(C3)C)C)C(O)C2)CC1)C)O)C
C(=O)(c1c[n+](ccc1)C2OC(C(O)C2O)COP(=O)(OP(=O)(OCC3OC(n4c5c(c(ncn5)N)nc4)C(OP(=O)(O)O)C3O)O)O)N
